Tamaño del input, Tiempo (ms)
153, 4
562, 32
186, 4
319, 31
448, 54
694, 144
369, 31
603, 46
418, 40
266, 9
445, 57
667, 125
296, 12
963, 228
803, 189
472, 31
894, 215
990, 102
588, 74
878, 94
368, 24
887, 72
132, 6
931, 152
721, 142
219, 10
781, 160
983, 324
390, 38
646, 68
354, 21
337, 30
229, 16
948, 121
411, 38
898, 143
948, 256
970, 93
661, 39
50, 0
89, 0
487, 41
390, 34
79, 0
201, 3
275, 16
943, 137
703, 82
635, 70
22, 0
706, 142
346, 13
535, 65
702, 58
310, 23
128, 1
731, 191
275, 16
18, 0
554, 50
810, 175
25, 0
21, 0
895, 236
746, 163
317, 16
885, 222
296, 21
887, 186
360, 21
228, 12
344, 18
308, 14
849, 97
792, 126
958, 250
405, 14
28, 0
421, 26
495, 28
298, 27
27, 0
32, 0
943, 169
300, 26
106, 1
752, 148
257, 12
954, 116
541, 50
872, 181
494, 34
303, 10
673, 64
823, 170
34, 0
635, 36
988, 292
460, 44
958, 215
128, 2
849, 184
322, 19
815, 176
483, 62
656, 53
729, 140
851, 227
355, 43
83, 2
132, 5
804, 92
151, 2
44, 0
846, 120
230, 4
508, 37
219, 3
36, 0
668, 48
468, 35
696, 79
556, 28
214, 4
327, 8
345, 11
221, 8
136, 4
650, 76
350, 27
504, 30
707, 85
198, 6
25, 0
2, 0
216, 9
449, 40
89, 1
109, 2
302, 21
533, 80
535, 84
933, 98
862, 233
889, 218
79, 0
401, 28
533, 46
318, 13
486, 62
153, 4
217, 3
740, 130
696, 89
46, 0
220, 5
896, 205
576, 54
673, 96
702, 126
986, 169
971, 177
324, 25
406, 15
375, 25
661, 115
122, 3
734, 158
812, 165
946, 154
784, 115
609, 73
691, 91
923, 235
532, 43
465, 60
320, 23
322, 17
411, 41
617, 78
717, 158
749, 137
143, 4
431, 40
23, 0
93, 1
485, 19
927, 89
843, 176
345, 21
31, 0
224, 12
65, 0
392, 28
191, 6
47, 0
802, 69
917, 216
891, 112
823, 219
505, 36
611, 90
863, 132
723, 56
772, 153
573, 42
546, 80
518, 48
739, 146
672, 92
332, 29
581, 69
499, 51
569, 94
578, 93
336, 27
444, 59
542, 72
557, 76
940, 89
595, 44
558, 84
533, 38
189, 9
490, 50
448, 53
821, 123
825, 67
799, 153
332, 11
379, 27
836, 90
53, 0
291, 10
274, 14
961, 222
888, 205
652, 119
537, 78
262, 12
734, 45
494, 46
769, 127
499, 31
445, 21
361, 12
7, 0
211, 4
496, 51
664, 119
647, 41
354, 19
83, 0
398, 12
9, 0
791, 151
286, 9
732, 162
795, 167
966, 204
710, 43
165, 7
834, 94
442, 50
691, 141
990, 158
255, 16
828, 84
575, 59
355, 39
887, 148
577, 84
147, 2
481, 48
588, 86
138, 4
562, 64
275, 22
633, 107
229, 7
806, 80
864, 199
457, 50
45, 0
201, 4
716, 141
533, 76
673, 79
348, 31
923, 168
652, 121
33, 0
454, 44
469, 33
569, 71
443, 35
113, 3
752, 84
350, 23
