Tamaño del input, Tiempo (ms)
153, 8
562, 133
186, 11
319, 36
448, 76
694, 239
369, 72
603, 187
418, 77
266, 26
445, 92
667, 178
296, 32
963, 395
803, 280
472, 97
894, 375
990, 447
588, 185
878, 353
368, 62
887, 347
132, 5
931, 402
721, 234
219, 17
781, 270
983, 425
390, 56
646, 170
354, 45
337, 40
229, 17
948, 390
411, 67
898, 354
948, 392
970, 402
661, 193
50, 0
89, 2
487, 90
390, 56
79, 1
201, 13
275, 25
943, 370
703, 203
635, 164
22, 0
706, 197
346, 44
535, 110
702, 202
310, 34
128, 4
731, 218
275, 32
18, 0
554, 130
810, 339
25, 0
21, 0
895, 334
746, 233
317, 40
885, 350
296, 30
887, 323
360, 46
228, 17
344, 41
308, 32
849, 292
792, 260
958, 391
405, 61
28, 0
421, 65
495, 97
298, 30
27, 0
32, 0
943, 375
300, 32
106, 3
752, 226
257, 23
954, 403
541, 113
872, 312
494, 93
303, 31
673, 176
823, 320
34, 0
635, 167
988, 396
460, 77
958, 371
128, 4
849, 288
322, 36
815, 270
483, 90
656, 176
729, 216
851, 295
355, 45
83, 1
132, 5
804, 266
151, 7
44, 0
846, 296
230, 19
508, 101
219, 16
36, 0
668, 180
468, 79
696, 198
556, 117
214, 16
327, 39
345, 43
221, 16
136, 5
650, 171
350, 53
504, 103
707, 200
198, 12
25, 0
2, 0
216, 15
449, 74
89, 2
109, 3
302, 32
533, 109
535, 119
933, 376
862, 308
889, 323
79, 1
401, 61
533, 112
318, 35
486, 87
153, 7
217, 15
740, 222
696, 197
46, 0
220, 16
896, 330
576, 129
673, 178
702, 204
986, 410
971, 447
324, 37
406, 65
375, 55
661, 177
122, 5
734, 216
812, 277
946, 392
784, 275
609, 149
691, 199
923, 359
532, 125
465, 85
320, 37
322, 42
411, 63
617, 153
717, 229
749, 228
143, 6
431, 69
23, 0
93, 2
485, 96
927, 370
843, 322
345, 43
31, 0
224, 16
65, 1
392, 58
191, 12
47, 0
802, 290
917, 351
891, 331
823, 283
505, 97
611, 146
863, 311
723, 210
772, 246
573, 133
546, 112
518, 104
739, 225
672, 187
332, 38
581, 127
499, 130
569, 136
578, 124
336, 43
444, 70
542, 111
557, 115
940, 358
595, 141
558, 120
533, 118
189, 13
490, 91
448, 76
821, 273
825, 303
799, 268
332, 40
379, 51
836, 291
53, 0
291, 30
274, 25
961, 379
888, 323
652, 180
537, 116
262, 28
734, 238
494, 92
769, 263
499, 101
445, 80
361, 49
7, 0
211, 19
496, 94
664, 172
647, 164
354, 44
83, 1
398, 56
9, 0
791, 285
286, 32
732, 243
795, 272
966, 410
710, 210
165, 8
834, 305
442, 80
691, 205
990, 476
255, 24
828, 295
575, 137
355, 46
887, 334
577, 139
147, 7
481, 92
588, 144
138, 5
562, 123
275, 32
633, 155
229, 17
806, 264
864, 313
457, 86
45, 0
201, 14
716, 206
533, 111
673, 180
348, 45
923, 349
652, 170
33, 0
454, 78
469, 84
569, 136
443, 82
113, 5
752, 246
350, 46
