Tamaño del input, Tiempo (ms)
153, 8
562, 116
186, 10
319, 33
448, 68
694, 197
369, 46
603, 164
418, 81
266, 30
445, 90
667, 172
296, 28
963, 388
803, 255
472, 80
894, 305
990, 361
588, 121
878, 276
368, 44
887, 287
132, 4
931, 319
721, 184
219, 14
781, 215
983, 353
390, 50
646, 145
354, 39
337, 35
229, 15
948, 325
411, 56
898, 294
948, 327
970, 387
661, 178
50, 0
89, 2
487, 88
390, 52
79, 1
201, 12
275, 23
943, 361
703, 198
635, 160
22, 0
706, 183
346, 40
535, 106
702, 186
310, 29
128, 4
731, 191
275, 25
18, 0
554, 107
810, 272
25, 0
21, 0
895, 352
746, 208
317, 37
885, 292
296, 27
887, 305
360, 42
228, 15
344, 37
308, 29
849, 264
792, 233
958, 364
405, 56
28, 0
421, 57
495, 84
298, 27
27, 0
32, 0
943, 346
300, 31
106, 3
752, 234
257, 23
954, 376
541, 103
872, 298
494, 90
303, 32
673, 181
823, 265
34, 0
635, 176
988, 453
460, 84
958, 356
128, 4
849, 262
322, 33
815, 243
483, 78
656, 161
729, 199
851, 266
355, 40
83, 1
132, 4
804, 237
151, 6
44, 0
846, 269
230, 18
508, 102
219, 17
36, 0
668, 168
468, 83
696, 190
556, 106
214, 15
327, 38
345, 40
221, 14
136, 5
650, 148
350, 39
504, 84
707, 176
198, 11
25, 0
2, 0
216, 13
449, 65
89, 2
109, 3
302, 30
533, 103
535, 96
933, 316
862, 277
889, 289
79, 1
401, 53
533, 104
318, 31
486, 86
153, 8
217, 15
740, 221
696, 180
46, 0
220, 14
896, 295
576, 116
673, 166
702, 191
986, 356
971, 354
324, 33
406, 54
375, 45
661, 154
122, 4
734, 220
812, 283
946, 328
784, 225
609, 130
691, 174
923, 310
532, 98
465, 72
320, 32
322, 33
411, 57
617, 132
717, 194
749, 203
143, 5
431, 61
23, 0
93, 2
485, 81
927, 336
843, 273
345, 39
31, 0
224, 15
65, 1
392, 51
191, 10
47, 0
802, 233
917, 325
891, 303
823, 257
505, 87
611, 131
863, 267
723, 185
772, 214
573, 114
546, 105
518, 95
739, 200
672, 164
332, 34
581, 114
499, 84
569, 111
578, 114
336, 39
444, 66
542, 105
557, 104
940, 328
595, 124
558, 106
533, 102
189, 10
490, 84
448, 71
821, 245
825, 255
799, 233
332, 35
379, 46
836, 309
53, 1
291, 38
274, 23
961, 340
888, 309
652, 153
537, 96
262, 21
734, 193
494, 83
769, 238
499, 90
445, 75
361, 45
7, 0
211, 16
496, 90
664, 182
647, 154
354, 40
83, 1
398, 51
9, 0
791, 228
286, 26
732, 204
795, 253
966, 364
710, 189
165, 7
834, 261
442, 70
691, 180
990, 380
255, 22
828, 272
575, 115
355, 40
887, 291
577, 132
147, 7
481, 85
588, 128
138, 5
562, 111
275, 27
633, 157
229, 17
806, 248
864, 281
457, 70
45, 0
201, 12
716, 195
533, 105
673, 172
348, 42
923, 334
652, 155
33, 0
454, 67
469, 77
569, 114
443, 73
113, 3
752, 205
350, 41
