Tamaño del input, Tiempo (ms)
153, 10
562, 144
186, 12
319, 41
448, 93
694, 213
369, 47
603, 167
418, 82
266, 30
445, 78
667, 167
296, 28
963, 377
803, 251
472, 74
894, 307
990, 362
588, 123
878, 284
368, 49
887, 318
132, 6
931, 344
721, 183
219, 14
781, 217
983, 353
390, 50
646, 148
354, 39
337, 35
229, 15
948, 327
411, 57
898, 291
948, 363
970, 391
661, 169
50, 0
89, 2
487, 86
390, 49
79, 1
201, 11
275, 24
943, 333
703, 177
635, 143
22, 0
706, 194
346, 43
535, 111
702, 194
310, 36
128, 4
731, 199
275, 24
18, 0
554, 106
810, 246
25, 0
21, 0
895, 422
746, 312
317, 48
885, 395
296, 37
887, 353
360, 48
228, 17
344, 42
308, 34
849, 274
792, 261
958, 372
405, 57
28, 0
421, 63
495, 81
298, 27
27, 0
32, 0
943, 340
300, 40
106, 4
752, 268
257, 25
954, 343
541, 100
872, 357
494, 128
303, 44
673, 248
823, 247
34, 0
635, 141
988, 387
460, 71
958, 346
128, 5
849, 275
322, 34
815, 244
483, 97
656, 159
729, 188
851, 264
355, 41
83, 1
132, 4
804, 234
151, 6
44, 0
846, 259
230, 16
508, 89
219, 14
36, 0
668, 153
468, 72
696, 180
556, 111
214, 14
327, 34
345, 38
221, 14
136, 5
650, 144
350, 38
504, 86
707, 173
198, 11
25, 0
2, 0
216, 13
449, 65
89, 2
109, 3
302, 31
533, 107
535, 98
933, 345
862, 296
889, 313
79, 1
401, 54
533, 114
318, 38
486, 96
153, 7
217, 16
740, 213
696, 199
46, 0
220, 17
896, 345
576, 149
673, 194
702, 196
986, 466
971, 391
324, 39
406, 63
375, 51
661, 173
122, 5
734, 236
812, 261
946, 372
784, 267
609, 141
691, 190
923, 320
532, 127
465, 86
320, 40
322, 40
411, 67
617, 147
717, 202
749, 224
143, 6
431, 65
23, 0
93, 2
485, 92
927, 368
843, 290
345, 40
31, 0
224, 15
65, 1
392, 59
191, 12
47, 0
802, 291
917, 374
891, 347
823, 272
505, 103
611, 145
863, 288
723, 210
772, 252
573, 119
546, 107
518, 95
739, 214
672, 171
332, 35
581, 128
499, 119
569, 138
578, 112
336, 35
444, 65
542, 98
557, 105
940, 385
595, 126
558, 107
533, 98
189, 10
490, 80
448, 67
821, 252
825, 258
799, 243
332, 38
379, 47
836, 264
53, 0
291, 26
274, 28
961, 345
888, 304
652, 151
537, 97
262, 21
734, 189
494, 85
769, 219
499, 94
445, 65
361, 46
7, 0
211, 13
496, 86
664, 161
647, 145
354, 41
83, 1
398, 52
9, 0
791, 225
286, 38
732, 255
795, 240
966, 348
710, 179
165, 7
834, 252
442, 87
691, 200
990, 368
255, 23
828, 253
575, 122
355, 39
887, 341
577, 137
147, 6
481, 82
588, 117
138, 5
562, 108
275, 29
633, 139
229, 15
806, 280
864, 310
457, 72
45, 0
201, 16
716, 188
533, 97
673, 188
348, 56
923, 338
652, 151
33, 0
454, 77
469, 73
569, 116
443, 64
113, 3
752, 206
350, 40
