n,m,tiempo
3819,38190,47
9076,90760,79
8767,87670,78
5048,50480,43
4033,40330,36
4359,43590,36
1728,17280,13
2606,26060,20
6583,65830,55
3630,36300,30
2026,20260,15
5687,56870,50
4766,47660,40
4649,46490,38
155,1550,0
9937,99370,82
7725,77250,63
2820,28200,21
7351,73510,60
8442,84420,73
4785,47850,41
4350,43500,37
4269,42690,35
6427,64270,54
872,8720,6
6867,68670,58
1362,13620,10
9034,90340,76
5509,55090,44
8032,80320,66
6742,67420,54
4984,49840,39
9799,97990,80
8301,83010,70
5694,56940,46
8010,80100,66
1352,13520,9
1720,17200,12
2400,24000,18
3425,34250,26
1502,15020,10
4166,41660,32
1183,11830,8
6349,63490,52
8072,80720,67
1122,11220,8
1116,11160,8
9132,91320,76
7054,70540,58
9398,93980,82
2600,26000,20
5021,50210,40
7706,77060,64
6457,64570,51
9631,96310,79
5742,57420,46
8236,82360,68
6294,62940,50
1289,12890,9
7403,74030,61
6089,60890,49
390,3900,2
1992,19920,14
7361,73610,60
212,2120,1
1991,19910,14
1010,10100,7
9340,93400,77
7764,77640,63
3939,39390,35
3064,30640,24
5860,58600,48
812,8120,5
823,8230,5
9972,99720,83
8546,85460,71
653,6530,4
2041,20410,15
6872,68720,56
6064,60640,49
822,8220,5
3469,34690,27
6367,63670,51
7814,78140,63
4645,46450,37
2694,26940,20
798,7980,5
5565,55650,45
1136,11360,8
3637,36370,29
8068,80680,67
4723,47230,38
3872,38720,30
9935,99350,82
4131,41310,32
8755,87550,80
7305,73050,69
966,9660,7
8828,88280,76
6172,61720,50
37,370,0
2076,20760,15
3795,37950,30
8446,84460,70
5586,55860,46
9887,98870,82
2588,25880,19
1905,19050,14
6907,69070,56
7087,70870,57
7989,79890,65
958,9580,7
836,8360,5
3822,38220,30
9581,95810,79
2474,24740,18
7497,74970,61
549,5490,3
7230,72300,59
9138,91380,75
7703,77030,63
9743,97430,81
3276,32760,26
7489,74890,61
6095,60950,49
4653,46530,37
2354,23540,18
7887,78870,66
9550,95500,78
4752,47520,37
4693,46930,37
8560,85600,69
7397,73970,58
518,5180,3
8527,85270,73
108,1080,0
5017,50170,40
3996,39960,31
9160,91600,75
3863,38630,29
1008,10080,7
3674,36740,29
9309,93090,78
9931,99310,82
1458,14580,11
6797,67970,56
8168,81680,69
3129,31290,24
3245,32450,25
9670,96700,81
3665,36650,28
9860,98600,84
3804,38040,29
956,9560,6
483,4830,3
2417,24170,18
7225,72250,58
2032,20320,15
1397,13970,9
3385,33850,26
4931,49310,39
5023,50230,40
2907,29070,22
2623,26230,20
301,3010,1
650,6500,4
7520,75200,62
4606,46060,37
4129,41290,33
2503,25030,20
5129,51290,41
5242,52420,41
3927,39270,31
6154,61540,49
9111,91110,75
3342,33420,25
4090,40900,32
4719,47190,38
1719,17190,12
9006,90060,75
7871,78710,66
6915,69150,56
3944,39440,30
7616,76160,62
2570,25700,19
1603,16030,12
2500,25000,19
1017,10170,6
2861,28610,21
9436,94360,82
6173,61730,50
1374,13740,10
9747,97470,83
8394,83940,70
2966,29660,23
6094,60940,49
7732,77320,64
2122,21220,15
9414,94140,78
1412,14120,10
607,6070,4
3065,30650,24
4315,43150,34
9134,91340,75
6283,62830,50
1824,18240,14
129,1290,0
5701,57010,46
9981,99810,84
6757,67570,54
5309,53090,42
3322,33220,24
6779,67790,54
303,3030,1
9737,97370,82
3037,30370,23
2207,22070,16
6155,61550,50
8926,89260,75
4875,48750,39
3104,31040,24
3772,37720,29
5881,58810,48
7793,77930,63
3321,33210,25
9830,98300,82
585,5850,4
1557,15570,11
111,1110,0
7588,75880,61
6774,67740,55
3520,35200,27
4468,44680,36
6575,65750,54
7254,72540,58
88,880,0
9573,95730,80
5263,52630,42
1693,16930,12
6180,61800,51
1420,14200,10
1522,15220,11
6891,68910,56
8061,80610,66
6611,66110,53
843,8430,6
7997,79970,66
2081,20810,15
8669,86690,71
4576,45760,36
